system:index,B11,B12,B2,B3,B4,B8,ID,Latitude,Longitude,.geo
00000000000000001cba,2124.5,1458.6666666666667,593.25,970.5,1295.5,2479.5,4I0D3K,-18.96204,46.68309,"{""type"":""Point"",""coordinates"":[46.683090209960945,-18.96203994750977]}"
00000000000000001cd9,1970.1666666666667,1581.6,428.3333333333333,718.75,979.25,2159.2,KFTS4O,-18.95402,46.68324,"{""type"":""Point"",""coordinates"":[46.6832389831543,-18.95401954650879]}"
00000000000000001cbd,2484.25,1734.0,560.0,849.0,1293.3333333333333,2444.285714285714,PR4U12,-18.96122,46.68329,"{""type"":""Point"",""coordinates"":[46.68328857421874,-18.96121978759766]}"
00000000000000001cd0,1167.0,561.0,207.7,432.0,300.1666666666667,3149.0,E2KWV8,-18.95587,46.68441,"{""type"":""Point"",""coordinates"":[46.684410095214844,-18.95586967468262]}"
00000000000000001c86,3362.6470588235293,2082.375,618.0909090909091,1057.75,1317.8,3417.090909090909,B22JUQ,-19.0017,46.68469,"{""type"":""Point"",""coordinates"":[46.684688568115234,-19.001699447631836]}"
00000000000000001cc4,2542.0,1809.25,432.0,695.0,1021.3333333333334,2310.0,0A322N,-18.95815,46.68547,"{""type"":""Point"",""coordinates"":[46.68547058105469,-18.958150863647457]}"
00000000000000001cd6,2386.5,1850.0,497.0,816.2857142857143,1094.0,2226.0,VWF6KL,-18.95435,46.68564,"{""type"":""Point"",""coordinates"":[46.685638427734375,-18.954349517822266]}"
00000000000000001c70,2767.0,1965.142857142857,493.2307692307692,786.0,1040.2222222222222,2219.25,V4VRKJ,-19.00704,46.69713,"{""type"":""Point"",""coordinates"":[46.69712829589844,-19.00704002380371]}"
00000000000000001c71,2767.0,1965.142857142857,493.2307692307692,786.0,1040.2222222222222,2219.25,78YT30,-19.00704,46.69713,"{""type"":""Point"",""coordinates"":[46.69712829589844,-19.00704002380371]}"
00000000000000001c6c,2032.5,1359.25,328.2,560.4,686.8571428571429,1872.3333333333333,OB5KK8,-19.00972,46.69783,"{""type"":""Point"",""coordinates"":[46.69783020019531,-19.009719848632812]}"
00000000000000001c76,2509.3333333333335,1868.5,552.75,861.5833333333334,1243.6,2267.6428571428573,RE8BW8,-19.00603,46.69792,"{""type"":""Point"",""coordinates"":[46.69792175292969,-19.006029129028324]}"
00000000000000001c6e,2580.1428571428573,1884.0,494.75,777.8,1102.888888888889,2127.8333333333335,F4Z1ZU,-19.00733,46.69796,"{""type"":""Point"",""coordinates"":[46.697959899902344,-19.0073299407959]}"
00000000000000001caa,2317.5,1614.0,354.2,612.3076923076923,729.3333333333334,2222.0,8EC75N,-18.9784,46.69882,"{""type"":""Point"",""coordinates"":[46.69881820678711,-18.978399276733395]}"
00000000000000001c96,2227.0,1521.0,283.75,539.8823529411765,662.8571428571429,2031.0,LO2LHW,-18.9811,46.70011,"{""type"":""Point"",""coordinates"":[46.700111389160156,-18.98110008239746]}"
00000000000000001c6a,2637.75,1843.0,436.9230769230769,687.6666666666666,1035.5,2254.5,9KF2PD,-19.01127,46.70064,"{""type"":""Point"",""coordinates"":[46.70064163208007,-19.01127052307129]}"
00000000000000001ca6,2735.25,1704.4,503.8,814.4444444444445,1010.0,3244.6666666666665,3IKYFB,-18.97879,46.7008,"{""type"":""Point"",""coordinates"":[46.700801849365234,-18.978790283203125]}"
00000000000000001c6b,2642.25,1801.2,399.93333333333334,590.75,900.8571428571429,1999.2307692307693,5E59JR,-19.01117,46.70081,"{""type"":""Point"",""coordinates"":[46.70080947875977,-19.011169433593746]}"
00000000000000001c53,2545.5,2026.25,430.5,688.8125,850.0,2126.5,OW5YQJ,-19.02305,46.70165,"{""type"":""Point"",""coordinates"":[46.70164871215821,-19.02305030822754]}"
00000000000000001c77,2476.25,1712.8,481.4761904761905,740.8571428571429,996.3333333333334,2138.896551724138,8ZJ9Q2,-19.00577,46.7017,"{""type"":""Point"",""coordinates"":[46.70169830322265,-19.005769729614258]}"
00000000000000001c4d,2580.0,2099.2,430.90909090909093,689.8333333333334,817.0,2036.0,7GD9YS,-19.0236,46.70186,"{""type"":""Point"",""coordinates"":[46.70185852050781,-19.023599624633793]}"
00000000000000001cdf,2070.6,1355.3333333333333,357.77777777777777,610.2380952380952,725.75,2274.5,EXO4NE,-18.95286,46.70209,"{""type"":""Point"",""coordinates"":[46.702091217041016,-18.952859878540043]}"
00000000000000001c9b,2618.0,1803.75,432.3333333333333,715.7142857142857,1016.0,2343.6666666666665,H14561,-18.98013,46.70225,"{""type"":""Point"",""coordinates"":[46.70225143432618,-18.98012924194336]}"
00000000000000001c97,2290.75,1681.0,397.0,620.4444444444445,816.5,1749.0,WYD4Y9,-18.98101,46.70226,"{""type"":""Point"",""coordinates"":[46.7022590637207,-18.98101043701172]}"
00000000000000001c75,2446.0,1770.75,480.22222222222223,728.2,1114.2,2031.5555555555557,BFXAEG,-19.00614,46.70238,"{""type"":""Point"",""coordinates"":[46.7023811340332,-19.006139755249023]}"
00000000000000001c92,2230.0,1648.0,424.6666666666667,680.5,950.0,1908.8,PV4Q6B,-18.98298,46.70241,"{""type"":""Point"",""coordinates"":[46.70241165161133,-18.982980728149414]}"
00000000000000001c54,2641.5,1868.3333333333333,457.8,752.3076923076923,1078.0,2220.6666666666665,6D0YDM,-19.0218,46.70267,"{""type"":""Point"",""coordinates"":[46.7026710510254,-19.021799087524414]}"
00000000000000001cac,2923.5,1877.3333333333333,527.4285714285714,877.0769230769231,1106.4,2705.6,HM0PRW,-18.97796,46.70291,"{""type"":""Point"",""coordinates"":[46.702911376953125,-18.97796058654785]}"
