,ID,landform_11,landform_12,landform_14,landform_21,landform_22,landform_24,landform_31,landform_34,landform_41,landform_42
108,YWR8XG,0,0,0,0,0,0,0,0,1,0
109,N54XYE,0,0,0,0,0,0,0,0,1,0
110,MO2D7U,0,0,0,1,0,0,0,0,0,0
111,STNT57,0,0,0,1,0,0,0,0,0,0
112,8W452O,0,0,0,1,0,0,0,0,0,0
113,1WXIQL,0,0,0,1,0,0,0,0,0,0
114,YI6UA8,0,0,0,0,0,0,1,0,0,0
115,Q8NT8I,0,0,0,0,0,0,1,0,0,0
116,ES7PZO,0,0,0,0,0,0,1,0,0,0
117,AMZ9XU,0,0,0,0,0,0,1,0,0,0
118,AKB5IQ,0,0,0,0,0,0,1,0,0,0
119,28W2GC,1,0,0,0,0,0,0,0,0,0
120,1GFDWD,1,0,0,0,0,0,0,0,0,0
121,T3ESGL,1,0,0,0,0,0,0,0,0,0
122,UWN7VC,1,0,0,0,0,0,0,0,0,0
123,M4HYRU,0,0,0,0,0,0,0,0,1,0
124,RSNVBM,0,0,0,0,0,0,0,0,1,0
125,JDVAIW,0,0,0,0,0,0,0,0,1,0
126,S8GNTJ,0,0,0,0,0,0,1,0,0,0
127,5MOXU4,0,0,0,0,0,0,1,0,0,0
128,BM78X2,0,0,0,0,0,0,0,0,1,0
129,I6BBJR,0,0,0,0,0,0,0,0,1,0
130,YJXYM9,0,0,0,0,0,0,0,0,1,0
131,8JN4RK,0,0,0,0,0,0,0,0,1,0
132,SH6B9O,0,0,0,0,0,0,1,0,0,0
133,PC5OP1,0,0,0,0,0,0,1,0,0,0
134,0ECWVV,0,0,0,0,0,0,1,0,0,0
135,QLAKCS,0,0,0,0,0,0,1,0,0,0
136,BFVK2R,0,0,0,1,0,0,0,0,0,0
137,2U23K5,0,0,0,1,0,0,0,0,0,0
138,BUXIU9,0,0,0,1,0,0,0,0,0,0
139,J2VARW,0,0,0,1,0,0,0,0,0,0
140,RQ71ML,0,0,0,0,0,0,0,0,1,0
141,51YZDM,0,0,0,0,0,0,0,0,1,0
142,LO1TIP,0,0,0,0,0,0,1,0,0,0
143,B7RULA,0,0,0,0,0,0,1,0,0,0
144,C8QG1K,0,0,0,1,0,0,0,0,0,0
145,TGAYGN,0,0,0,1,0,0,0,0,0,0
146,84TTZX,0,0,0,0,0,0,1,0,0,0
147,5R5B5K,0,0,0,0,0,0,1,0,0,0
148,AO1W0F,0,0,0,1,0,0,0,0,0,0
149,R6JTPX,0,0,0,1,0,0,0,0,0,0
150,2SCGTW,0,0,0,0,0,0,1,0,0,0
151,EKFUUY,0,0,0,0,0,0,1,0,0,0
152,KEBRXM,0,0,0,0,0,0,1,0,0,0
153,59EAEE,0,0,0,0,0,0,1,0,0,0
154,50TTK5,0,0,0,1,0,0,0,0,0,0
155,155N11,0,0,0,1,0,0,0,0,0,0
156,HFX7WI,0,0,0,0,0,0,1,0,0,0
157,TM8J0H,0,0,0,0,0,0,1,0,0,0
158,5LYUIW,0,0,0,1,0,0,0,0,0,0
159,3AVNFF,0,0,0,1,0,0,0,0,0,0
160,IPXW4R,0,0,0,0,0,0,1,0,0,0
161,VWXYL7,0,0,0,0,0,0,1,0,0,0
162,66BE6X,0,0,0,1,0,0,0,0,0,0
163,1T9GEY,0,0,0,1,0,0,0,0,0,0
164,WL7G1I,0,0,0,0,0,0,1,0,0,0
165,2DTNOE,0,0,0,0,0,0,1,0,0,0
166,TFWLA0,0,0,0,1,0,0,0,0,0,0
167,AHJNS2,0,0,0,1,0,0,0,0,0,0
168,T446DI,0,0,0,0,0,0,1,0,0,0
169,29V9PV,0,0,0,0,0,0,1,0,0,0
170,Z940XE,0,0,0,0,0,0,1,0,0,0
171,GWSQL7,0,0,0,0,0,0,1,0,0,0
172,A61BQ6,0,0,0,1,0,0,0,0,0,0
173,3ODRJ4,0,0,0,1,0,0,0,0,0,0
174,9I1HDC,0,0,0,0,0,0,1,0,0,0
175,B89S9K,0,0,0,0,0,0,1,0,0,0
176,OD1397,0,0,0,0,0,0,0,0,1,0
177,PNC7VM,0,0,0,0,0,0,0,0,1,0
178,2INKCQ,0,0,0,1,0,0,0,0,0,0
179,UFTYYM,0,0,0,1,0,0,0,0,0,0
180,01Z3SN,0,0,0,1,0,0,0,0,0,0
181,LN7OQO,0,0,0,1,0,0,0,0,0,0
182,LHY7Z6,0,0,0,0,0,0,0,0,1,0
183,49HABC,0,0,0,0,0,0,0,0,1,0
184,9JD1JL,0,0,0,1,0,0,0,0,0,0
185,2TBH6J,0,0,0,1,0,0,0,0,0,0
186,LQUHEZ,0,0,0,1,0,0,0,0,0,0
187,A836HI,0,0,0,0,0,0,1,0,0,0
188,9X4UVH,0,0,0,0,0,0,1,0,0,0
189,3UGFDN,0,0,0,1,0,0,0,0,0,0
