,CIre,ID
0,1.3705722070844688,JUZSWK
1,1.3705722070844688,B5RDUR
2,1.2883317261330762,IMQ2UL
3,1.2883317261330762,GAP8LB
4,1.2883317261330762,Q7QJ6M
5,1.172043010752688,3EYUL8
6,1.172043010752688,29L2PF
7,1.25,UUIOIG
8,1.25,9KOEHL
9,1.2003546099290778,S6DD78
10,1.2003546099290778,5XD1YT
11,1.6073298429319371,JC0L94
12,1.6073298429319371,J6A3UO
13,1.5194123819517316,B4ZNVE
14,1.5194123819517316,8ECSIW
15,1.4683815648445877,B3J6WJ
16,1.4683815648445877,CI9MC1
17,1.4342629482071714,VFIAAC
18,1.4342629482071714,KLXN9M
19,1.0904311251314405,S63MLD
20,1.0904311251314405,Z8GC17
21,1.87603305785124,39HJTI
22,1.87603305785124,VNDL3Q
23,2.040462427745665,O1M3SP
24,2.040462427745665,41W5FU
25,0.5373134328358209,SZIIC0
26,0.98559670781893,WQ8RM1
27,0.98559670781893,WYUSL2
28,1.221757322175732,KZ9MMT
29,1.221757322175732,PLFF23
30,0.8550218340611353,QM4IXR
31,0.8550218340611353,BFX7KN
32,0.6496478873239437,G5TXE8
33,0.6496478873239437,F7LO6G
34,1.1343775762572137,8AW0MO
35,1.1343775762572137,OTQY4U
36,1.619433198380567,K7DRSP
37,1.619433198380567,TQC7K7
38,1.39606501283148,BJL2EW
39,1.39606501283148,V178I1
40,1.4213114754098362,L99TPM
41,1.4213114754098362,ANAJ12
42,0.4365548980933595,HO4YJK
43,0.4365548980933595,SF4P73
44,1.3539668700959022,O6XJC2
45,1.3539668700959022,LPNFTL
46,1.1726147123088126,XRRU3Y
47,1.1726147123088126,7LADOH
48,1.4265873015873014,JNWZLN
49,1.4265873015873014,Q5R7X8
50,1.2808155699721966,K2JIVO
51,1.2808155699721966,DA46Q4
52,1.1319073083778963,WZHG39
53,1.1319073083778963,N9WJL8
54,1.013377926421405,VWRPSC
55,1.013377926421405,221UWM
56,1.4226348364279398,YT9LIA
57,1.4226348364279398,DEFPX4
58,0.7286212914485166,Q7XCXC
59,0.7286212914485166,WC85S1
60,1.4197635135135136,TD3KGJ
61,1.4197635135135136,VXDLUO
62,1.7907986111111112,VQJCF6
63,1.7907986111111112,9FTHL5
64,1.1412322274881517,I5DDTF
65,1.1412322274881517,54F181
66,0.2812920592193808,RCYGF8
67,0.2812920592193808,QMRNVB
