ID,Country,Area,Cropland nitrogen per unit area,Cropland phosphorus per unit area,Cropland potassium per unit area
O2TONM,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
BQLUK6,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
LSET8M,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
LEEL7I,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
LDNGO2,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
C1V4X1,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
U3DX7Q,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
B5CSC7,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
PSGXRQ,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
RAA1RC,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
YQ4D0E,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
L91GYD,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
KXEGKE,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
9KRGJG,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
B8TKGO,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
ETYXAP,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
Q24C83,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
Q4LBLV,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
ECNZCO,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
2K768M,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
WQMCY2,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
MFF8RI,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
MX2F0W,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
G6F953,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
WF937B,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
H4PC4F,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
00TCBD,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
XHFIN3,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
DEX0X1,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
QYHXH8,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
LCS0V0,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
B9NH3I,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
XV60NM,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
Y0DSHA,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
63WATE,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
8ZO7UN,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
J6ZTE7,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
JEZEW2,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
20I71A,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
A8AZHW,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
Q9R801,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
MRZC2J,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
75O0KX,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
RMGRYC,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
NF1DUL,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
NUFJIS,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
GZHP4Q,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
4LIFM0,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
XXJHFR,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
13NI7D,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
DGX833,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
K2JR9I,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
EQPF0A,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
3YJWTB,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
A1RSQV,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
93XW42,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
VYQ96G,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
9CTIEZ,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
KBASIO,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
0LYYXX,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
OLTRL2,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
C64BHA,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
GR2QFU,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
OXGO3H,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
FV3RQT,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
MUX9LD,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
9HC9OA,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
88Z9RL,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
SH2I0S,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
VV7VG3,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
YKQ02D,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
CYCSM5,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
8IHY1K,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
FOURGS,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
BQ9O8I,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
OOFDTQ,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
Y4069V,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
U24BHN,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
128P3R,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
LL1CVH,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
FN3XEN,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
U9GG1E,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
LNV7XC,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
OQXK1S,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
PF634Z,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
VV8T3F,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
DHAZE8,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
JDBT6H,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
7IURVU,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
AKJ106,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
KZO17R,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
363RZT,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
9OIHEL,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
UXEYA0,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
KX3NK2,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
OGGLZ7,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
NQ1428,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
X1QYLS,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
MXZWJB,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
R6M7WR,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
YNI5OC,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
J9R8WT,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
R4PQDG,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
UYZF03,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
1929HP,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
6OTPFW,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
9MQZ7F,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
PHPN7D,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
C6MJDX,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
33P0DD,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
47CZO8,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
W9XXVF,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
DGCVH0,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
IAPMA3,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
DJWUZ3,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
6W4CZ8,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
56VH1O,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
HON4JU,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
3YUOYG,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
KQ4UPB,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
Y608UM,Tanzania,Tanzania,6.777309090909091,-2.4924181818181816,-7.380090909090909
